"","ENTREES","Genre","copies","DEVIS","distrib","produc","origine","AE","RD","coc","rang","duree","cannes","regard","quinzaine","venise","berlin","critlegit","critpopu","nbcritiques","rk_entrees","rk_copies","rk_devis","categ.copies"
"9249",133123,"Comédie",271,3859331,"2","9","F100","0","0","TP",12,90,"0","0","0","0","0",NA,2,0.133333333333333,65.9666071616087,81.5369468338688,38.7482168330956,"[200,400)"
"9250",135401,"ComDram",125,5519104,"2","9","MINO","1","0","TP",6,115,"0","0","1","0","0",3.4,4,0.8,66.2081276908537,65.0481915224376,48.9657631954351,"[100,200)"
"9251",14843,"Drame",31,NA,"2","9","EUROPE","1","0","TP",1,123,"0","1","0","0","0",4,4,0.733333333333333,35.6295285099233,41.9058969841434,NA,"[20,50)"
"9252",39949,"Drame",51,NA,"2","9",NA,"1","0","NotAv",1,93,"0","0","0","0","1",3.66666666666667,3.75,0.866666666666667,48.9971647590045,50.5907347911701,NA,"[50,100)"
"9253",33512,"Autre",80,5719000,"2","9","USA","0","0","TP",3,104,"0","0","0","0","0",1.5,2.75,0.466666666666667,46.5924603591305,57.6432790962794,49.6255349500713,"[50,100)"
"9254",34945,"Drame",43,2207146,"2","9","F100","1","0","TPA",6,111,"0","0","0","0","0",3.5,3.75,0.8,47.2015121285309,47.5178775002591,26.765335235378,"[20,50)"
"9255",184810,"Autre",357,NA,"majorUS","9","EUROPE","0","0","TP",2,98,"0","0","0","0","0",2,4,0.133333333333333,70.5344954321117,87.8432998238159,NA,"[200,400)"
"9256",4775156,"Animation",647,NA,"majorUS","majorUS","USA","0","0","TP",2,108,"0","0","0","0","0",3.4,4,0.533333333333333,99.3069410899926,97.295056482537,NA,"[600,1100]"
"9257",124426,"Documentaire",108,634351,"majorUS","9","F100","0","0","TP",1,82,"0","0","0","0","0",2.66666666666667,3,0.466666666666667,65.1580384332668,62.7785262721526,8.95149786019971,"[100,200)"
"9258",3383094,"Animation",750,NA,"majorUS","majorUS","USA","0","0","TP",6,103,"0","0","0","0","0",3,4,0.8,98.4983723616507,98.7356202715307,NA,"[600,1100]"
